Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,916.4,1504.8,1,0,2,123,7,88,255,29.935,54.5528,0,3.87048,6.17845,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,928,1496.5,1,0,2,137,7,88,255,29.4015,53.6277,0,4.51526,7.28055,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,807,878,1,0,2,1851,25,88,255,122.451,221.596,0,31.3198,55.6696,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1336.5,791.5,1,0,2,359,11,88,255,38.2563,69.5766,0,8.72732,15.0041,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1287.77,1704.15,1,0,1,1461,23,86,255,101.089,183.077,0,38.9441,69.4682,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1440.14,1691.02,1,0,1,1464,23,86,255,111.981,202.737,0,34.2776,61.0315,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,375.5,1669.5,1,0,1,539,13,86,255,105.558,191.122,0,37.6771,67.1944,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,533.5,1646,1,0,1,943,18,86,255,51.93,94.3425,0,19.7034,34.7928,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1169,1630,1,0,1,816,17,88,255,33.9951,61.8971,0,6.46759,10.878,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1249.5,1614,1,0,1,594,14,86,255,114.416,207.136,0,34.5974,61.5643,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1147.5,1605,1,0,1,425,13,86,255,37.6918,68.5553,0,8.95674,15.3605,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,522.241,1560.4,1,0,1,1410,22,88,255,41.1085,74.7348,0,13.0461,22.7757,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,903,1554,1,0,1,1050,18,88,255,111.387,201.662,0,35.4867,63.2059,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,424.646,1541.01,1,0,1,603,15,88,255,38.4428,69.9005,0,11.2411,19.5127,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,986.387,1531.28,1,0,1,933,17,88,255,51.0707,92.7899,0,17.181,30.2477,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1304,1520,1,0,1,444,13,86,255,75.1194,136.239,0,32.2299,57.4293,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1128.5,1478.5,1,0,1,1865,25,86,255,91.6257,165.994,0,38.9893,69.5894,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,493.5,1408.5,1,0,1,999,18,88,255,116.491,210.873,0,34.0047,60.4991,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,405.5,1391,1,0,1,285,10,88,255,48.3263,87.7825,0,17.243,30.3927,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1577.47,1390.38,1,0,1,242,9,88,255,32.8719,59.8802,0,6.4844,10.8697,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1462.05,1401.74,1,0,1,1204,21,88,255,56.4759,102.546,0,21.5412,38.1258,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,306.731,1393.65,1,0,1,679,15,88,255,44.3608,80.6244,0,13.4525,23.5199,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,259,1386,1,0,1,229,9,88,255,40.9607,74.5066,0,11.0272,19.044,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,344.1,1366.7,1,0,1,540,13,88,255,25.3148,46.2222,0,2.13405,3.0644,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,220.5,1366,1,0,1,1283,21,86,255,121.846,220.501,0,31.8668,56.6524,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1293.5,1324.5,1,0,1,433,13,88,255,35.4596,64.6005,0,7.80673,13.2646,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1410,1290,1,0,1,441,13,86,255,54.5261,99.034,0,20.1207,35.6057,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,180.96,1291.72,1,0,1,747,16,88,255,26.2303,47.8688,0,2.14912,3.03817,1, "2021-07-09 [오전 10:55:46]: no comment"
"C:\Users\user\Desktop\210709\BL21_P\BL21_P50_G.png", 1,1037.68,1279.24,1,0,1,490,13,88,255,41.249,74.9755,0,12.2149,21.2475,1, "2021-07-09 [오전 10:55:46]: no comment"
