Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1045.51,1580.16,1,0,2,1271,22,8,255,167.019,25.2132,0,68.1442,11.3604,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1026.46,1563.34,1,0,2,502,13,8,255,143.068,21.4801,0,54.0092,9.11586,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,937.635,1047.36,1,0,2,824,18,8,255,141.263,21.2184,0,63.9721,10.6957,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,928.9,1020.8,1,0,2,840,17,10,255,143.367,21.5571,0,65.9002,10.9882,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,812.388,826.247,1,0,2,766,17,8,255,148.12,22.2676,0,64.0934,10.7249,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,803.381,798.936,1,0,2,1156,22,10,255,199.317,30.2587,0,66.8332,11.2229,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,619,574,1,0,2,246,10,10,255,79.9431,11.7886,0,28.5638,5.23737,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,601,560,1,0,2,647,15,10,255,112.133,16.7295,0,45.6808,7.86046,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,907.689,1686.86,1,0,1,608,14,8,255,99.7516,14.8602,0,48.112,8.1877,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,784.4,1659.7,1,0,1,826,17,8,255,128.027,19.1998,0,68.6058,11.4017,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,946.8,1636.9,1,0,1,1255,21,10,255,124.826,18.7124,0,63.6326,10.6247,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,924.986,1547.17,1,0,1,1033,19,10,255,106.131,15.8209,0,50.4909,8.57127,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1546,1524,1,0,1,92,6,8,255,49.3261,7.13043,0,16.5299,3.45489,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,621.25,1538.25,1,0,1,1302,21,10,255,143.376,21.5568,0,68.5001,11.4032,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,651,1496,1,0,1,282,10,8,255,55.1738,8.05319,0,20.7132,4.02718,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1032,1495,1,0,1,281,10,8,255,90.9786,13.4982,0,40.5207,7.0438,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,962,1482.5,1,0,1,163,8,10,255,51.9939,7.55215,0,17.4042,3.49946,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,1068,1491,1,0,1,861,17,10,255,160.131,24.1545,0,71.2963,11.8795,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,569.25,1459.75,1,0,1,516,13,8,255,108.672,16.2171,0,55.7848,9.39316,1, "2021-07-09 [오전 11:01:34]: no comment"
"C:\Users\user\Desktop\210709\BL21_R\BL21_R50_R.png", 1,850.25,1456.75,1,0,1,1076,18,10,255,137.172,20.6125,0,70.0528,11.6327,1, "2021-07-09 [오전 11:01:34]: no comment"
