Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,592.6,1693.2,1,0,1,414,12,8,255,63.8116,9.35507,0,25.1815,4.71015,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,867.7,1658.1,1,0,1,631,15,10,255,79.9572,11.8019,0,35.4197,6.26752,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,971.5,1398,1,0,1,400,12,8,255,62.72,9.1875,0,26.1512,4.85582,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,203,1356,1,0,1,659,15,8,255,121.734,18.2049,0,61.6905,10.308,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1360.1,1331.2,1,0,1,549,13,8,255,93.5137,13.8798,0,43.452,7.49535,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,20,1323.5,1,0,1,532,13,10,255,85.3289,12.6297,0,35.2876,6.25587,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1266.8,1258.6,1,0,1,545,13,8,255,81.6385,12.0495,0,36.4882,6.41755,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1150.5,1257,1,0,1,669,15,8,255,76.7907,11.3274,0,33.923,6.04291,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1531.25,1251.25,1,0,1,624,15,8,255,88.3173,13.109,0,39.7152,6.93347,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1001.5,1219,1,0,1,543,14,8,255,70.2486,10.3297,0,30.1437,5.48077,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1393.56,1158.05,1,0,1,681,15,8,255,90.072,13.3612,0,42.0853,7.27364,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1764,1131,1,0,1,635,15,8,255,75.4394,11.0976,0,33.9887,6.05995,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,35.75,1119.25,1,0,1,693,15,10,255,85.5657,12.6623,0,40.1138,6.98471,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,341,1058.5,1,0,1,688,15,8,255,75.3343,11.125,0,34.8005,6.17053,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,750,1039,1,0,1,342,11,8,255,60.7339,8.87427,0,24.8866,4.63527,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,416,1038,1,0,1,487,13,8,255,67.653,9.93634,0,29.6278,5.36926,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,813.75,1005.75,1,0,1,757,16,8,255,109.122,16.2853,0,53.45,9.03332,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,257.651,912.028,1,0,1,623,15,8,255,87.3644,12.9502,0,40.5641,7.0585,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,122,874.5,1,0,1,722,16,10,255,91.6122,13.5983,0,40.0689,6.97264,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,198.45,869.15,1,0,1,540,14,10,255,84.6944,12.5407,0,34.9596,6.18797,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,646.5,866,1,0,1,596,14,10,255,91.7953,13.6258,0,40.3347,7.01614,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1488,844.5,1,0,1,737,16,10,255,91.2334,13.5224,0,40.5426,7.04303,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,655.5,836,1,0,1,589,14,8,255,80.5195,11.9032,0,34.0669,6.04941,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,135.5,822,1,0,1,648,15,10,255,91.1173,13.5309,0,40.0564,6.98859,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,942,806,1,0,1,230,9,8,255,56.087,8.18261,0,19.5503,3.84095,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,764,797,1,0,1,559,13,10,255,86.458,12.8265,0,39.1801,6.83772,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,708.25,795.25,1,0,1,629,14,8,255,96.3307,14.2973,0,45.4189,7.79397,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1356.5,789.5,1,0,1,681,15,8,255,82.812,12.2394,0,38.0298,6.6905,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1492,755,1,0,1,784,17,10,255,86.1212,12.75,0,38.8906,6.80146,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,74,741.5,1,0,1,685,15,10,255,106.35,15.8482,0,50.5999,8.60332,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,166.5,721,1,0,1,633,15,8,255,90.3918,13.4044,0,41.4275,7.1852,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,602,629.5,1,0,1,587,14,8,255,96.7683,14.3748,0,45.5822,7.8156,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1436,606.5,1,0,1,670,15,8,255,102.272,15.209,0,50.0332,8.51146,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,408.5,597.5,1,0,1,524,13,10,255,80.3779,11.8874,0,36.3736,6.40998,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,219.1,566.7,1,0,1,664,15,8,255,83.5105,12.3494,0,38.6548,6.76928,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1064,519.5,1,0,1,619,15,10,255,113.433,16.9241,0,58.0111,9.72664,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,811.5,507.5,1,0,1,670,15,10,255,73.4642,10.8254,0,33.9228,6.04052,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,992,421,1,0,1,536,13,10,255,80.3377,11.8787,0,31.8189,5.73103,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1148.5,365,1,0,1,338,11,8,255,91.0917,13.4941,0,41.0644,7.14338,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,926,350,1,0,1,498,13,8,255,100.12,14.8815,0,44.5868,7.67219,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,1476.5,322,1,0,1,983,18,8,255,76.7223,11.3194,0,34.4486,6.13042,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,624.5,295,1,0,1,599,14,8,255,70.2003,10.3139,0,30.2074,5.46971,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_R.png", 1,737.5,166,1,0,1,794,16,8,255,83.2217,12.3161,0,37.6063,6.61234,1, "2021-07-07 [오후 2:25:36]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,5.53847,385.692,1,0,6,83,6,88,255,8.12048,15.0482,0,2.01076,2.86214,1, "2021-07-07 [오후 2:25:45]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,593,1693,1,0,1,406,12,86,255,42.5197,77.2562,0,13.1233,22.8971,1, "2021-07-07 [오후 2:25:45]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,868,1657.5,1,0,1,587,14,86,255,56.8109,103.118,0,21.2187,37.5808,1, "2021-07-07 [오후 2:25:45]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,971.5,1398.5,1,0,1,370,11,88,255,44.2027,80.2946,0,14.0384,24.6006,1, "2021-07-07 [오후 2:25:45]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,202.8,1356.9,1,0,1,584,14,86,255,32.0325,58.3921,0,5.56318,9.21826,1, "2021-07-07 [오후 2:25:45]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,1360,1331,1,0,1,749,15,86,255,119.945,217.049,0,33.5572,59.7288,1, "2021-07-07 [오후 2:25:45]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,21,1323.5,1,0,1,693,15,86,255,119.784,216.779,0,34.5648,61.5154,1, "2021-07-07 [오후 2:25:45]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,1267.25,1258.75,1,0,1,497,13,86,255,64.7304,117.495,0,25.4106,45.1409,1, "2021-07-07 [오후 2:25:45]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,1150,1256.5,1,0,1,838,17,86,255,119.638,216.52,0,33.6965,59.9448,1, "2021-07-07 [오후 2:25:45]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,1531.25,1250.75,1,0,1,585,15,88,255,52.159,94.735,0,18.7017,33.0096,1, "2021-07-07 [오후 2:25:45]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,1001.5,1219,1,0,1,592,14,86,255,107.894,195.346,0,38.5732,68.796,1, "2021-07-07 [오후 2:25:45]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,1394,1158.5,1,0,1,620,15,88,255,39.1355,71.1629,0,10.6036,18.3775,1, "2021-07-07 [오후 2:25:45]: no comment"
"C:\Users\user\Desktop\210630\C2_P_pre\C2566_P20_G.png", 1,1763.85,1131.41,1,0,1,357,11,88,255,22.2465,40.6415,0,1.74531,2.32007,1, "2021-07-07 [오후 2:25:45]: no comment"
