Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1317.5,1685.5,1,0,2,427,12,88,255,29.3911,53.5269,0,2.52088,3.67543,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1309.9,1667.2,1,0,2,322,10,88,255,30.4255,55.4348,0,2.96452,4.53735,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,895,1630,1,0,2,595,15,86,255,94.7311,171.686,0,32.9877,58.7527,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,886.75,1606.75,1,0,2,547,14,86,255,104.795,189.799,0,33.5489,59.7309,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,483.433,1600.6,1,0,2,447,13,86,255,84.7673,153.635,0,35.3102,62.9655,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,465.5,1600,1,0,2,301,10,86,255,76.6379,139.007,0,28.6793,51.0294,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1038.5,1614.5,1,0,2,549,14,86,255,120.253,217.641,0,31.1026,55.2706,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1038.5,1590,1,0,2,634,15,86,255,122.784,222.191,0,30.1317,53.5486,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1441.95,1341.65,1,0,2,310,13,86,255,59.5,107.99,0,14.2128,24.8599,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1445.5,1327,1,0,2,288,10,86,255,82.3646,149.365,0,28.5885,50.8528,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,377.3,1261.4,1,0,2,273,10,88,255,56.2161,102.084,0,14.4954,25.4397,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,384.6,1244.8,1,0,2,473,13,86,255,74.8584,135.725,0,26.3926,46.8932,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,271,1193,1,0,2,171,8,86,255,35.8363,65.2339,0,4.06786,6.56443,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,847.759,1175.34,1,0,2,507,14,86,255,120.777,218.586,0,30.9069,54.9067,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,837.513,1153.92,1,0,2,658,16,86,255,126.833,229.474,0,30.4029,54.0279,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,77.1415,1153.25,1,0,2,85,7,86,255,61.5294,111.718,0,7.54143,12.8705,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,112,1026,1,0,2,261,10,86,255,122.073,220.923,0,27.9011,49.5109,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,127.389,1022.74,1,0,2,355,12,86,255,122.569,221.78,0,31.0247,55.161,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,981.75,1057.25,1,0,4,274,10,86,255,103.839,188.102,0,31.9731,56.8843,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,997.2,1048.9,1,0,4,305,11,86,255,122.033,220.902,0,30.1889,53.608,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,989.923,1033.8,1,0,4,386,13,86,255,118.759,214.982,0,30.4106,53.9999,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1003,1017.5,1,0,4,270,10,88,255,112.47,203.581,0,38.1984,68.1348,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,89.5,1032,1,0,4,248,9,86,255,125.839,227.694,0,27.3383,48.5314,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,71.3356,1026.94,1,0,4,210,9,86,255,120.89,218.838,0,28.168,49.9653,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,76.5,1002,1,0,4,286,10,86,255,118.685,214.881,0,31.5206,55.979,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1144.71,971.12,1,0,3,352,11,86,255,87.8011,159.188,0,32.025,57.0073,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1135.97,934.669,1,0,3,310,11,86,255,114.329,206.984,0,34.7816,61.9213,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,184.772,923.269,1,0,2,502,13,86,255,125.697,227.39,0,31.7972,56.5743,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,200.25,908.25,1,0,2,429,12,86,255,92.1562,167.077,0,26.5522,47.2425,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,576.25,897.25,1,0,3,253,11,86,255,115.352,208.901,0,28.1293,49.889,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,586.5,878.5,1,0,3,360,12,86,255,124.269,224.822,0,31.2905,55.6625,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,534.5,868.5,1,0,2,492,13,86,255,109.843,198.898,0,33.3004,59.2417,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,558.5,857,1,0,2,551,14,86,255,112.682,204.044,0,32.794,58.3278,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,366.75,894.25,1,0,4,385,12,86,255,114.745,207.777,0,31.2165,55.4942,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,382.8,885.9,1,0,4,410,13,86,255,119.571,216.427,0,28.5725,50.7087,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,386,863.5,1,0,4,582,15,86,255,126.912,229.605,0,30.0392,53.3783,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,385,838.5,1,0,4,563,14,86,255,124.078,224.506,0,29.7405,52.8369,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,721.055,835.474,1,0,3,256,10,86,255,111.977,202.797,0,30.3116,53.8563,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,727.281,820.826,1,0,3,374,13,86,255,123.952,224.34,0,27.3257,48.4447,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,721.932,802.42,1,0,3,551,15,86,255,125.321,226.739,0,31.7657,56.4967,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1762.01,674.205,1,0,2,751,16,86,255,119.059,215.459,0,36.1656,64.4246,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1309.5,672,1,0,2,579,14,86,255,122.881,222.351,0,31.4692,55.9526,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1296,659.5,1,0,2,89,6,88,255,42.3933,77.1011,0,5.94604,9.92421,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,479.3,654.4,1,0,2,473,13,86,255,75.0486,136.142,0,24.2014,42.9147,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,459.45,645.15,1,0,2,571,14,86,255,117.566,212.792,0,32.4654,57.7524,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1472.03,501.118,1,0,2,89,6,88,255,34.9551,63.7303,0,2.91335,4.40444,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1435.5,488.5,1,0,2,377,11,88,255,105.406,190.881,0,33.7435,60.0987,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1454,478,1,0,2,229,10,86,255,72.5808,131.664,0,19.4533,34.4304,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,751.5,485.5,1,0,4,607,15,86,255,127.282,230.278,0,29.3279,52.0674,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,759.957,445.104,1,0,4,343,12,86,255,123.411,223.405,0,25.7686,45.606,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,763.5,427.5,1,0,4,441,13,86,255,112.029,202.891,0,29.8967,53.1044,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1102.53,416.898,1,0,2,529,16,86,255,98.1569,177.89,0,31.8122,56.6404,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1086.12,401.292,1,0,2,593,15,86,255,127.017,229.791,0,29.6314,52.6418,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,909.25,395.25,1,0,2,383,13,86,255,65.2167,118.358,0,16.6274,29.2175,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,922.25,381.75,1,0,2,396,12,86,255,114.275,206.861,0,34.2025,60.8766,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1539.26,390.559,1,0,2,78,6,86,255,45.5769,82.8205,0,8.75675,15.0318,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1549,376,1,0,2,441,13,86,255,112.12,202.977,0,33.527,59.7139,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1130,332,1,0,2,137,7,86,255,49.5839,90.0657,0,7.89932,13.4626,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1115.5,329.5,1,0,2,300,10,86,255,116.053,210.053,0,34.7368,61.8282,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1307.96,300.829,1,0,2,170,8,88,255,36.1235,65.8412,0,3.31416,5.1179,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1319.96,292.192,1,0,2,326,11,86,255,49.0399,89.1288,0,10.4409,18.1345,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,420.827,297.359,1,0,2,621,15,86,255,122.826,222.279,0,30.2437,53.7199,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,444.112,290.17,1,0,2,624,15,86,255,125.067,226.28,0,30.9415,55.0028,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1127.17,228.381,1,0,2,410,13,86,255,114.027,206.456,0,32.4684,57.7628,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,1124.8,209.913,1,0,2,348,12,86,255,84.8736,153.934,0,28.3785,50.5254,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,413,203.5,1,0,2,390,12,86,255,30.941,56.3051,0,2.71393,4.11353,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,396,191,1,0,2,286,10,88,255,30.0524,54.7587,0,2.38702,3.43399,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,681.5,136,1,0,3,603,15,86,255,123.789,223.965,0,32.5252,57.8787,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,670.5,119,1,0,3,297,10,88,255,105.111,190.525,0,26.9707,47.8803,1, "2021-07-07 [오후 1:21:00]: no comment"
"C:\Users\user\Desktop\210630\C2_R\C2566_R20_G.png", 1,677.692,98.5385,1,0,3,422,12,86,255,120.545,218.128,0,34.8269,62.029,1, "2021-07-07 [오후 1:21:00]: no comment"
