Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,698.201,1360.08,1,0,2,268,10,86,255,42.7761,77.7724,0,9.5297,16.4298,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,712,1354,1,0,2,217,9,86,255,42.5069,77.2396,0,8.93703,15.3841,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,277.698,1310.44,1,0,2,159,7,88,255,55.0818,100.019,0,15.7861,27.7399,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,291.067,1303.37,1,0,2,323,11,88,255,110.303,199.712,0,37.0342,65.9543,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,593,1239,1,0,2,412,12,86,255,116.087,210.17,0,33.1941,59.0623,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,594.5,1220.5,1,0,2,311,10,86,255,123.119,222.743,0,33.2291,59.1699,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,611.78,1189.04,1,0,3,134,7,86,255,95.1567,172.366,0,34.1189,60.8719,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,599,1186.5,1,0,3,148,7,88,255,52.1081,94.5608,0,11.6518,20.2614,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,569,1138,1,0,2,385,12,86,255,118.613,214.66,0,34.2558,60.9943,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,584,1130,1,0,2,151,8,88,255,49.4967,89.9205,0,10.2428,17.7148,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,741.5,1136.5,1,0,2,452,12,86,255,116.94,211.668,0,33.8121,60.1823,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,1208,1130,1,0,2,204,9,86,255,47.8382,86.902,0,10.4027,17.9726,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,1216.3,1114.1,1,0,2,292,10,86,255,112.682,203.962,0,39.7057,70.8267,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,760.5,1078,1,0,2,284,10,86,255,119.405,216.088,0,30.07,53.4201,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,741,1078,1,0,2,404,12,86,255,127.661,230.965,0,30.1041,53.4736,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,1110.79,1068.82,1,0,2,318,10,86,255,69.7956,126.61,0,25.2631,44.841,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,1095.5,1058,1,0,2,311,10,86,255,106.293,192.479,0,36.2359,64.5717,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,1283.5,1060.5,1,0,2,241,9,88,255,35.1909,64.0539,0,5.47085,9.0559,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,1285.25,1040.75,1,0,2,307,10,86,255,37.5342,68.2866,0,6.77267,11.4409,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,744.5,1037,1,0,2,115,7,88,255,101.365,183.67,0,28.8453,51.3124,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,735,1036.5,1,0,2,152,8,86,255,80.0197,145.158,0,19.8035,35.0619,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,855.733,1028.71,1,0,2,326,11,86,255,114.411,207.086,0,38.7333,69.0262,1, "2021-07-06 [오후 2:47:39]: no comment"
"C:\Users\user\Desktop\210630\DH5a_P50_G.png", 1,929.5,1013,1,0,3,227,9,86,255,105.692,191.573,0,24.9866,44.2946,1, "2021-07-06 [오후 2:47:39]: no comment"
