Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\user\Desktop\210630\DH5a_R100\DH5a_R100_G.png", 1,1496.73,1765.35,1,0,3,92,7,88,255,33.0326,60.0543,0,3.70045,5.83053,1, "2021-07-07 [오후 12:01:05]: no comment"
"C:\Users\user\Desktop\210630\DH5a_R100\DH5a_R100_G.png", 1,1485.91,1750.17,1,0,3,165,8,86,255,48.8,88.6848,0,13.812,24.1916,1, "2021-07-07 [오후 12:01:05]: no comment"
"C:\Users\user\Desktop\210630\DH5a_R100\DH5a_R100_G.png", 1,1509,1745,1,0,3,134,7,88,255,19.1194,34.8657,0,1.93876,2.62899,1, "2021-07-07 [오후 12:01:05]: no comment"
"C:\Users\user\Desktop\210630\DH5a_R100\DH5a_R100_G.png", 1,1518,1736.5,1,0,3,89,6,86,255,18.6404,34.1348,0,1.95102,2.59487,1, "2021-07-07 [오후 12:01:05]: no comment"
"C:\Users\user\Desktop\210630\DH5a_R100\DH5a_R100_G.png", 1,1344.5,1746.5,1,0,2,269,10,86,255,120.327,217.803,0,32.6379,58.0072,1, "2021-07-07 [오후 12:01:05]: no comment"
"C:\Users\user\Desktop\210630\DH5a_R100\DH5a_R100_G.png", 1,1344.52,1730.25,1,0,2,266,11,86,255,104.466,189.195,0,32.8209,58.4327,1, "2021-07-07 [오후 12:01:05]: no comment"
"C:\Users\user\Desktop\210630\DH5a_R100\DH5a_R100_G.png", 1,1368.5,1736,1,0,2,231,9,88,255,105.498,191.069,0,29.9469,53.2372,1, "2021-07-07 [오후 12:01:05]: no comment"
"C:\Users\user\Desktop\210630\DH5a_R100\DH5a_R100_G.png", 1,1367.6,1721.8,1,0,2,149,7,86,255,66.8993,121.477,0,28.8666,51.2737,1, "2021-07-07 [오후 12:01:05]: no comment"
"C:\Users\user\Desktop\210630\DH5a_R100\DH5a_R100_G.png", 1,192.5,1710.5,1,0,3,174,10,88,255,43.2759,78.6839,0,7.71795,13.1039,1, "2021-07-07 [오후 12:01:05]: no comment"
"C:\Users\user\Desktop\210630\DH5a_R100\DH5a_R100_G.png", 1,200,1704,1,0,3,111,8,86,255,46.8919,85.1351,0,8.41966,14.4261,1, "2021-07-07 [오후 12:01:05]: no comment"
"C:\Users\user\Desktop\210630\DH5a_R100\DH5a_R100_G.png", 1,206,1697,1,0,3,166,8,86,255,48.7349,88.6145,0,13.0657,22.8686,1, "2021-07-07 [오후 12:01:05]: no comment"
