Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,638.326,1232.26,1,0,3,378,12,8,255,68.2751,10.0291,0,25.108,4.68203,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,641,1212.5,1,0,3,351,12,10,255,72.2336,10.6011,0,23.7309,4.46581,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,626.5,1203,1,0,3,278,10,8,255,53.795,7.81295,0,18.4205,3.6473,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,564.5,1137.5,1,0,2,188,8,8,255,47.3138,6.79255,0,14.2746,3.02761,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,563.941,1122.74,1,0,2,253,10,8,255,50.2451,7.28458,0,17.3937,3.50494,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,142.344,985.213,1,0,2,295,10,8,255,56.6169,8.2339,0,19.8591,3.89293,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,129,971.5,1,0,2,396,12,8,255,61.2374,8.95202,0,23.0296,4.38449,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,1034.11,850.633,1,0,2,250,9,8,255,51.484,7.496,0,16.4465,3.36516,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,1043.64,834.155,1,0,2,496,14,8,255,67.1754,9.86694,0,25.4155,4.74791,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,529,669.5,1,0,2,477,13,10,255,51.8616,7.55346,0,19.2106,3.7677,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,518,650,1,0,2,370,12,8,255,55.2486,8.02432,0,20.4255,3.95954,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,895.1,624.3,1,0,2,402,12,8,255,57.8955,8.41294,0,22.2095,4.21975,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,874.5,613.5,1,0,2,376,11,8,255,57.9574,8.44681,0,22.1066,4.23747,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,807,583.5,1,0,3,317,11,8,255,64.3849,9.4511,0,21.3059,4.12842,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,817,565.5,1,0,3,261,10,8,255,56.2912,8.20307,0,18.8926,3.71383,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,1142.09,376.388,1,0,2,144,7,10,255,39.5903,5.61806,0,11.1122,2.56346,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,1153.31,370.515,1,0,2,168,7,8,255,41.7321,5.9881,0,10.7648,2.50392,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,672.882,1708.03,1,0,1,294,10,8,255,48.3333,7,0,18.4098,3.67897,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,1149.5,1700,1,0,1,364,11,10,255,52.4643,7.59066,0,20.9031,4.05985,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,1071.75,1672.75,1,0,1,312,10,8,255,49.9135,7.20833,0,19.7082,3.86863,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,710.808,1656.04,1,0,1,210,8,8,255,41.1905,5.90476,0,13.7325,2.93476,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,549,1595.5,1,0,1,134,7,8,255,33.7537,4.73134,0,7.60782,2.07317,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,994.3,1578.4,1,0,1,403,11,8,255,60.5856,8.8536,0,25.3188,4.74443,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,597.5,1523.5,1,0,1,171,8,10,255,39.7251,5.63158,0,11.6365,2.65397,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,284.147,1525.59,1,0,1,373,11,8,255,54.9705,7.98123,0,22.7691,4.32706,1, "2021-08-06 [오후 1:28:23]: no comment"
"C:\Users\user\Desktop\210806\P3\DH5a_P3(3)_R.png", 1,1063.4,1523.7,1,0,1,269,9,8,255,47.3309,6.81413,0,16.9939,3.43633,1, "2021-08-06 [오후 1:28:23]: no comment"
