Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,697,473,1,0,2,229,10,52,255,30.1266,26.0131,0,14.648,13.5286,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1008,1684,1,0,1,227,9,54,255,32.0485,29.2423,0,14.6366,14.1246,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,937,1644.5,1,0,1,264,10,54,255,25.947,23.2083,0,13.1909,11.9744,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,801.5,1534.5,1,0,1,217,9,54,255,25.6774,22.5438,0,11.1862,9.54315,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,424.707,1447.63,1,0,1,347,11,52,255,25.3833,22.1268,0,13.3673,12.0039,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,538,1431,1,0,1,215,9,50,255,16.5116,13.8,0,6.75295,5.66277,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,613.392,1367.35,1,0,1,320,11,48,255,29.8719,24.3188,0,14.6971,12.7818,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,591.5,1322.5,1,0,1,339,11,48,255,20.7699,16.8643,0,9.47729,8.30575,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,323.5,1293,1,0,1,356,11,54,255,28.2135,24.9972,0,14.4298,13.452,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1236.9,1216.2,1,0,1,262,10,54,255,21.2901,18.584,0,10.3711,9.15069,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1061,1112.5,1,0,1,313,11,48,255,25.5942,20.5623,0,13.35,10.8977,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,300.5,1096,1,0,1,130,7,60,255,25.9385,26.0385,0,15.2612,14.6124,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1389.44,1065.21,1,0,1,198,8,54,255,20.8131,18.5253,0,8.48402,7.34901,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1371.25,1037.75,1,0,1,299,10,56,255,32.4114,29.8495,0,14.99,14.7411,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1641.5,1012.5,1,0,1,158,7,56,255,18.0063,16.8228,0,7.51823,7.01845,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1350.5,992.5,1,0,1,192,8,34,255,18.0677,10.1198,0,6.88258,2.96353,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1292.5,986,1,0,1,352,10,54,255,28.7358,25.5227,0,14.398,13.4825,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,512,971.5,1,0,1,316,11,50,255,23.8639,20.3006,0,11.1727,9.83685,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,769.441,947.265,1,0,1,320,11,52,255,23.7094,20.6969,0,11.7153,10.3684,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,473,875.5,1,0,1,281,10,54,255,21.0783,18.5694,0,9.73417,9.02418,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1072,774,1,0,1,126,7,54,255,11.1032,9.61905,0,3.6181,3.14497,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1326.25,719.75,1,0,1,223,9,54,255,21.1435,18.6592,0,8.5345,7.56875,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,677.485,694.809,1,0,1,273,10,52,255,21.3516,18.4542,0,10.2642,8.90782,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1238.5,691,1,0,1,343,11,54,255,33.6589,31.1341,0,15.3918,15.656,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,482.75,689.25,1,0,1,413,12,52,255,32.7797,29.3317,0,17.2831,16.7802,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,652.25,664.75,1,0,1,134,7,60,255,14.2612,13.6567,0,5.54649,5.31261,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,590.9,666.2,1,0,1,323,11,52,255,22.7957,19.6718,0,11.0618,9.78946,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1067.3,618.1,1,0,1,281,10,54,255,18.4733,15.5623,0,8.50707,7.12827,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,807,614.5,1,0,1,188,9,52,255,22.4149,19.4681,0,9.05158,7.61511,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1056.25,551.75,1,0,1,432,12,52,255,27.8727,24.2338,0,14.7884,13.5644,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1457.25,527.25,1,0,1,283,10,54,255,27.3428,24.4841,0,12.4299,11.3628,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1026.5,518,1,0,1,315,11,52,255,20.4508,16.5079,0,10.01,7.97359,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,734,475.5,1,0,1,238,10,50,255,23.9706,20.0504,0,11.2982,9.57625,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,303.75,464.25,1,0,1,136,7,54,255,18.9706,16.5956,0,7.00972,6.04302,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,1638,332.5,1,0,1,192,8,56,255,19.2813,17.7292,0,9.1166,8.16397,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,933,91,1,0,1,215,9,62,255,21.6837,23.4233,0,8.50581,9.688,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,960,90.5,1,0,1,250,10,52,255,20.62,17.844,0,9.72718,8.37588,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(3)_A2.png,1,484.5,31,1,0,1,155,7,52,255,17.0194,14.5677,0,6.6881,5.8673,1," ""2021-08-31 [오후 5:11:01]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,1096.33,543.635,1,0,2,340,11,50,255,26.45,22.3676,0,12.6849,11.3476,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,1093.5,524.5,1,0,2,343,11,50,255,25.8921,21.8834,0,12.4364,11.1346,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,947.25,1736.25,1,0,1,313,10,52,255,20.6613,18.2332,0,10.9095,9.86678,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,1242,1689.5,1,0,1,295,10,54,255,21.4034,19.0814,0,11.2655,10.4979,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,1259.8,1582.4,1,0,1,298,10,50,255,24.5805,21.245,0,13.0665,11.7421,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,444,1214,1,0,1,213,9,50,255,12.8028,10.6197,0,5.91033,4.43292,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,691.25,1204.75,1,0,1,261,9,54,255,18.8314,16.9655,0,9.7517,8.71392,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,465.08,1096.56,1,0,1,273,10,20,255,23.978,7.663,0,14.2078,2.64082,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,431.5,1069.5,1,0,1,275,10,52,255,21.6218,19.1018,0,11.6888,10.4305,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,973.731,1056.65,1,0,1,385,11,50,255,19.4701,16.4935,0,10.7322,8.89908,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,1560.5,965,1,0,1,319,11,52,255,24.0031,20.9216,0,13.1049,11.703,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,590,959,1,0,1,418,12,48,255,16.3421,13.3038,0,8.66557,7.23703,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,808,951,1,0,1,278,10,52,255,17.2518,15.3165,0,8.67608,7.43622,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,791.5,922,1,0,1,338,11,52,255,21.5533,18.9083,0,11.3194,10.04,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,896.5,906,1,0,1,290,10,52,255,16.0414,14.0931,0,8.06753,6.91156,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,850.7,902.1,1,0,1,293,10,52,255,17.256,15.058,0,8.53961,7.33588,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,1543.68,889.706,1,0,1,285,10,36,255,17.7158,11.3333,0,8.90425,4.91459,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,1461.5,886.5,1,0,1,295,10,52,255,23.1525,20.139,0,12.0328,10.8647,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,824,876,1,0,1,179,8,48,255,9.53631,8.42458,0,4.16803,3.42627,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,1480.25,870.25,1,0,1,311,10,52,255,24.1479,21.045,0,12.5253,11.4431,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,985,828.5,1,0,1,330,11,52,255,16.1848,13.6485,0,7.69095,6.41189,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,1191,788,1,0,1,474,13,54,255,28.9051,25.981,0,16.1842,15.7936,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,975,690.5,1,0,1,327,11,54,255,18.2569,15.6483,0,9.76231,8.23958,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,79.4,627.8,1,0,1,181,8,56,255,13.0994,11.8729,0,6.41647,5.60487,1," ""2021-08-31 [오후 5:11:02]: no comment"""
C:\Users\user\Desktop\210806\P8\DH5a_P8(1)_A2.png,1,710,556.5,1,0,1,244,9,52,255,16.832,14.5205,0,7.90572,6.67598,1," ""2021-08-31 [오후 5:11:02]: no comment"""
